WITH REDUCED BATCH SIZE 


2024/08/09 23:22:06.108, 4 MiB, 81920 MiB
2024/08/09 23:22:07.603, 4 MiB, 81920 MiB
2024/08/09 23:22:14.948, 4 MiB, 81920 MiB
2024/08/09 23:22:25.326, 4 MiB, 81920 MiB
2024/08/09 23:22:28.703, 4 MiB, 81920 MiB
2024/08/09 23:22:39.601, 4 MiB, 81920 MiB
2024/08/09 23:22:43.573, 4 MiB, 81920 MiB
2024/08/09 23:22:46.880, 4 MiB, 81920 MiB
2024/08/09 23:22:58.143, 4 MiB, 81920 MiB
2024/08/09 23:22:59.753, 4 MiB, 81920 MiB
2024/08/09 23:23:03.208, 4 MiB, 81920 MiB
2024/08/09 23:23:12.812, 4 MiB, 81920 MiB
2024/08/09 23:23:17.736, 4 MiB, 81920 MiB
2024/08/09 23:23:19.556, 4 MiB, 81920 MiB
2024/08/09 23:23:32.089, 4 MiB, 81920 MiB
2024/08/09 23:23:34.761, 4 MiB, 81920 MiB
2024/08/09 23:23:37.059, 4 MiB, 81920 MiB
2024/08/09 23:23:40.667, 4 MiB, 81920 MiB
2024/08/09 23:23:51.657, 4 MiB, 81920 MiB
2024/08/09 23:23:53.917, 4 MiB, 81920 MiB
2024/08/09 23:23:56.497, 4 MiB, 81920 MiB
2024/08/09 23:24:07.178, 4 MiB, 81920 MiB
2024/08/09 23:24:10.159, 4 MiB, 81920 MiB
2024/08/09 23:24:12.648, 4 MiB, 81920 MiB
2024/08/09 23:24:25.513, 4 MiB, 81920 MiB
2024/08/09 23:24:28.934, 4 MiB, 81920 MiB
2024/08/09 23:24:35.788, 4 MiB, 81920 MiB
2024/08/09 23:24:45.346, 4 MiB, 81920 MiB
2024/08/09 23:24:52.835, 4 MiB, 81920 MiB
2024/08/09 23:25:02.977, 4 MiB, 81920 MiB
2024/08/09 23:25:09.127, 4 MiB, 81920 MiB
2024/08/09 23:25:20.478, 4 MiB, 81920 MiB
2024/08/09 23:25:22.444, 4 MiB, 81920 MiB
2024/08/09 23:25:33.665, 4 MiB, 81920 MiB
2024/08/09 23:25:37.194, 4 MiB, 81920 MiB
2024/08/09 23:25:39.584, 4 MiB, 81920 MiB
2024/08/09 23:25:44.157, 4 MiB, 81920 MiB
2024/08/09 23:25:47.602, 4 MiB, 81920 MiB
2024/08/09 23:25:55.120, 4 MiB, 81920 MiB
2024/08/09 23:25:58.302, 4 MiB, 81920 MiB
2024/08/09 23:26:02.052, 4 MiB, 81920 MiB
2024/08/09 23:26:08.494, 4 MiB, 81920 MiB
2024/08/09 23:26:13.994, 4 MiB, 81920 MiB
2024/08/09 23:26:16.253, 4 MiB, 81920 MiB
2024/08/09 23:26:20.769, 4 MiB, 81920 MiB
2024/08/09 23:26:26.080, 4 MiB, 81920 MiB
